edge_num,Node_1,X_1,Y_1,Node_2,X_2,Y_2,length,C-betweenness_1,C-betweenness_2,C-closness_1,C-closness_2,K-core_1,K-core_2,Edge_vunerability
1,159,706.17,1557.05,151,608.52,1549.87,98.4575,0.040119342347489366,0.023741509553735798,0.0006010184226783714,0.000573446925115169,2,2,0.0016871170668299308
2,151,608.52,1549.87,43,605.65,1559.92,10.4545,0.023741509553735798,0.0,0.000573446925115169,0.0005700486255320604,2,1,0.014003619840458673
3,151,608.52,1549.87,147,551.08,1525.46,63.1370,0.023741509553735798,0.18713895765885863,0.000573446925115169,0.0005663502977586533,2,2,0.0032061663750547454
4,160,713.87,1524.06,159,706.17,1557.05,33.8799,0.4196026153748492,0.040119342347489366,0.0006124097273140823,0.0006010184226783714,2,2,0.0035607358674280333
5,131,354.24,1522.67,38,352.91,1559.92,37.2825,0.13191138195899194,0.0,0.0005179412594274564,0.0005081832960289347,2,1,0.009425920844709819
6,141,462.33,1522.59,147,551.08,1525.46,88.7940,0.1699993652002793,0.18713895765885863,0.0005437674207177164,0.0005663502977586533,2,2,0.008281555060476732
7,141,462.33,1522.59,40,458.89,1559.35,36.9239,0.1699993652002793,0.0,0.0005437674207177164,0.00053312349496729,2,1,0.009632670391681102
8,131,354.24,1522.67,141,462.33,1522.59,108.0959,0.13191138195899194,0.1699993652002793,0.0005179412594274564,0.0005437674207177164,2,2,0.006702406010880453
9,120,257.84,1521.44,131,354.24,1522.67,96.4046,0.08607884212530946,0.13191138195899194,0.0004951733258252446,0.0005179412594274564,2,2,0.006210378695773485
10,120,257.84,1521.44,36,256.69,1551.31,29.8918,0.08607884212530946,0.0,0.0004951733258252446,0.0004879908486999381,2,1,0.009184871634870884
11,111,18.31,1521.15,120,257.84,1521.44,239.5323,0.04634037961023297,0.08607884212530946,0.00044730250732490405,0.0004951733258252446,2,2,0.0020048459673171182
12,154,637.24,1521.15,160,713.87,1524.06,76.6783,0.341903129562623,0.4196026153748492,0.000590379736913436,0.0006124097273140823,2,2,0.0038742913916147937
13,147,551.08,1525.46,154,637.24,1521.15,86.2702,0.18713895765885863,0.341903129562623,0.0005663502977586533,0.000590379736913436,2,2,0.0019852617870733764
14,111,18.31,1521.15,4,-0.65,1520.29,18.9753,0.04634037961023297,0.0,0.00044730250732490405,0.0004435588636126873,2,1,0.010900334100467068
15,93,1347.16,1516.88,30,1558.46,1523.31,211.4013,0.03999238240335174,0.0,0.0006687364136312107,0.0005863138625987692,2,1,0.006756116934720249
16,111,18.31,1521.15,9,1.08,1512.54,19.2665,0.04634037961023297,0.0,0.00044730250732490405,0.0004435019008056687,2,1,0.010853521926059083
17,77,1184.38,1473.76,81,1220.28,1476.63,36.0157,0.05091093759918745,0.09229987938805306,0.0007009368186758759,0.0007175240850453031,2,2,0.006353796598116909
18,63,1112.57,1468.02,77,1184.38,1473.76,72.0316,0.03694534374404875,0.05091093759918745,0.0006720860072662148,0.0007009368186758759,2,2,0.005162972584471117
19,56,1069.49,1468.02,63,1112.57,1468.02,43.0813,0.02247191011235955,0.03694534374404875,0.0006537175779241498,0.0006720860072662148,2,2,0.004149333126236667
